game,map,worldSize,materialSize,yScale,waterLevel,minH,maxH,meanH,reliefM,meanSlopeDeg,steepPct,landPct,cps,cpSpacingMedian,cpSpacingMin,vehicles,soldierSpawns,spawnToCpMedian,objects,templates,objPerKm2,combatArea,combatPct,deathPct,materials
BF1942,Berlin_Last_Night,1024,256,0.6,75,0,135.947,79.743,135.947,12.53,17.356,91.231,4,173.413,162.74,9,22,33.295,846,67,806.809,1,100,11.845,3
BF1942,BFCS_aim_headshot_TDM,1024,256,0.6,0,76.2,76.2,76.2,0,0,0,100,2,81,81,0,4,13.564,1,1,0.954,1,100,0,1
BF1942,BFCS_fy_absolut_TDM,1024,256,0.6,0,76.2,76.2,76.2,0,0,0,100,0,0,0,0,0,0,1,1,0.954,1,100,0,1
BF1942,BF_de_AZTEC_beta_I,1024,256,0.6,82,76.2,76.2,76.2,0,0,0,0,3,82.989,82.989,0,6,4.163,21,16,20.027,1,100,0,1
BF1942,big_map,32768,1024,10,-1000,621.25,2558.477,1665.332,1937.227,28.286,45.907,100,3,16761.09,16761.09,16,16,54.283,28,2,0.026,0,0,0,1
BF1942,bir_hakeim,2048,512,0.3,0,31.044,47.394,37.827,16.35,3.555,0.042,100,4,523.233,440.972,24,16,17.528,1265,52,301.6,1,100,0,2
BF1942,Bocage,2048,512,0.6,10,0,153,44.879,153,12.814,8.276,90.737,5,218.646,200.63,24,32,16.643,284,48,67.711,0,0,0,6
BF1942,bomberfight,4096,1024,2,30,0,510,11.801,510,3.083,5.092,4.86,3,1224.26,1224.26,6,8,31.606,30,4,1.788,1,100,0,1
BF1942,bomberfight_big,4096,1024,2,30,0,510,11.801,510,3.083,5.092,4.86,5,1093.984,1003.91,6,8,31.606,30,4,1.788,1,100,0,1
BF1942,BORDER_WAR,1024,256,0.6,15,0.513,149.091,54.466,148.577,29.029,45.186,98.921,6,185.87,157.573,66,20,5.599,1572,153,1499.176,0,0,38.01,4
BF1942,bulge_battlefront,2048,512,0.6,0,52.092,112.198,77.775,60.105,3.168,2.855,100,5,112.72,110.038,21,22,14.416,1000,30,238.419,1,100,90.368,4
BF1942,Burma,1024,256,0.6,74,47.21,148.298,92.108,101.088,16.445,18.098,95.898,5,391.838,172.126,32,25,45.067,1238,93,1180.649,1,100,17.625,7
BF1942,carentan,1024,256,0.6,54,70.27,101.693,84.625,31.423,7.617,0.501,100,6,138.521,111.018,34,29,27.048,1140,103,1087.189,1,100,59.464,4
BF1942,CaribbeanInferno,1024,256,0.6,75,0,150.811,66.213,150.811,24.123,31.405,25.287,6,148.825,65.717,31,13,13.612,1995,65,1902.58,1,100,0.003,9
BF1942,cassino_vanilla,1024,256,0.6,72,62.105,153,103.959,90.895,19.835,27.4,98.053,6,93.207,75.543,19,34,12.27,232,45,221.252,1,76.563,81.912,6
BF1942,Cherbourg,2048,512,0.8,99,7.141,136.181,97.714,129.041,16.238,12.254,54.75,5,275.535,266.39,26,31,29.787,731,39,174.284,1,100,80.873,4
BF1942,Cherivort,2048,512,0.6,75,62.344,139.46,82.764,77.116,7.019,3.149,99.156,7,270.923,210.139,33,56,43.146,681,62,162.363,1,100,51.113,8
BF1942,Convoy,2048,512,0.6,45,0,153,72.955,153,18.638,22.601,95.472,6,381.264,188.652,56,42,33.145,689,60,164.27,0,0,79.644,5
BF1942,Coral_sea,2048,512,0.6,38,0,98.958,5.208,98.958,3.629,5.351,4.923,0,0,0,10,0,0,499,15,118.971,0,0,0,4
BF1942,Corregidor,2048,512,0.7,100,88.402,145.348,91.366,56.946,2.279,2.386,7.634,5,212.555,212.095,39,52,36.624,1111,41,264.883,1,100,0,3
BF1942,Corsica,2048,512,0.6,88,57.98,136.287,86.653,78.307,3.815,2.525,19.88,5,406.624,383.026,62,17,58.948,1507,83,359.297,0,0,0,3
BF1942,Crossfire,1024,256,0.6,74,69.195,82.338,75.952,13.144,1.181,1.89,94.299,8,113.661,74.228,22,80,34.062,1629,64,1553.536,1,25,88.707,3
BF1942,Cut,1024,256,0.1,0,12.7,12.7,12.7,0,0,0,100,4,28.039,23.033,0,16,6.285,84,20,80.109,1,100,5.702,2
BF1942,Danube_blues,1024,256,0.6,68,30.734,113.112,70.684,82.378,6.136,9.049,79.341,5,141.018,129.878,11,20,12.954,521,38,496.864,1,100,64.963,7
BF1942,Desert_Oasis,2048,512,0.8,74,55.738,204,120.987,148.263,18.887,25.749,94.611,7,711.283,640.119,65,33,87.191,1007,78,240.088,1,100,0,5
BF1942,Desert_rats,1024,256,0.6,0,64.594,76.507,76.01,11.913,0.497,0.698,100,4,126.121,119.562,0,16,18.218,137,20,130.653,1,100,20.534,2
BF1942,desna_river,1024,256,0.7,75,36.304,117.447,87.843,81.143,13.471,14.204,89.59,7,250.842,88.443,31,34,21.62,1718,64,1638.412,1,100,6.151,6
BF1942,die_sturmgewehr,2048,512,0.6,0,34.284,152.093,102.815,117.809,12.389,9.255,100,3,226.029,226.029,15,2,164.326,1682,46,401.02,1,100,81.764,5
BF1942,dignitas_infantry,1024,256,0.6,0,76.2,76.2,76.2,0,0,0,100,0,0,0,0,18,0,175,12,166.893,1,100,99.487,2
BF1942,Divine_Wind,2048,512,0.4,75,37.595,102,52.014,64.405,2.693,1.567,2.203,4,996.335,961.901,12,0,0,64,16,15.259,1,100,0,3
BF1942,DogFight,2048,512,0.5,75,57.898,127.5,64.419,69.602,0.755,1.026,5.295,6,93.91,93.49,72,14,20.777,53,6,12.636,1,100,0,6
BF1942,downhill_to_the_beach_two,2048,512,2,75,0,510,170.969,510,7.081,9.591,31.882,8,367.704,24.745,49,26,12.653,196,21,46.73,1,100,0,5
BF1942,Do_The_Harlem_Shake_II,2048,512,0.6,21,0,151.179,16.607,151.179,6.667,9.842,14.786,7,82.755,47.75,74,25,21.592,1696,96,404.358,1,6.25,94.991,5
BF1942,dukla_pass,1024,256,0.6,57,41.109,121.627,80.819,80.517,19.744,23.173,99.501,7,171.347,160.999,43,38,22.027,1476,51,1407.623,1,100,68.381,6
BF1942,d_day,2048,512,0.6,69,52.72,84.03,76.27,31.31,4.552,0.102,99.122,3,235.634,235.634,28,12,47.688,1213,42,289.202,1,100,0,4
BF1942,Eagles_Nest,1024,256,0.6,32,20.22,153.598,93.959,133.378,25.14,36.484,97.939,6,204.473,143.513,26,42,25.944,513,70,489.235,1,100,53.987,11
BF1942,eagles_nest_vanilla,1024,256,0.6,32,20.22,153,93.956,132.781,25.117,36.454,97.939,6,187.502,143.513,26,38,22.121,513,70,489.235,1,100,0,1
BF1942,Easter_Island,4096,1024,2,28,0,270.453,11.101,270.453,3.072,4.904,9.629,5,462.061,276.311,41,24,28.47,1047,62,62.406,1,100,0,5
BF1942,East_Docks,2048,512,0.6,44,25.58,153,48.184,127.42,4.341,7.022,25.634,8,181.59,175.555,49,36,21.121,1572,69,374.794,1,100,76.923,5
BF1942,El_Alamein,2048,512,0.6,16,0,152.4,51.971,152.4,12.586,11.877,99.329,5,673.347,640.979,48,29,45.28,898,46,214.1,0,0,0,3
BF1942,el_alamein_lop,2048,512,0.6,16,0,152.4,51.971,152.4,12.586,11.877,99.329,5,673.347,640.979,48,29,45.28,898,46,214.1,0,0,0,3
BF1942,Enemy_at_the_gates,1024,256,0.6,0,75.71,95.768,78.628,20.058,6.351,0.091,100,5,120.852,101.342,18,5,7.42,732,44,698.09,1,100,78.54,2
BF1942,Eternal_Forest,1024,256,0.6,65,0,129.323,73.853,129.323,11.672,14.285,88.007,6,259.725,243.684,6,6,7.918,992,21,946.045,1,100,0,3
BF1942,Faid_Pass,2048,512,0.6,0,63.701,153,102.35,89.299,11.263,11.543,100,5,249.106,238.158,30,30,25.863,494,44,117.779,1,61.035,76.308,4
BF1942,finalbattle,1024,256,0.5,76,0,127.5,62.677,127.5,12.862,16.858,44.722,8,166.961,121.448,53,29,29.645,936,114,892.639,1,100,2.786,13
BF1942,floating_archipelago,1024,256,0.6,10,0,0,0,0,0,0,0,3,299.5,299.5,3,4,140,6,6,5.722,1,100,0,1
BF1942,france_hills_vii,1024,256,0.6,35,66.534,126.284,90.1,59.749,17.136,15.449,100,6,279.217,222.212,38,22,28.029,1968,34,1876.831,1,100,10.759,5
BF1942,frozen_shield,1024,256,2,0,249.727,451.586,286.333,201.859,25.576,37.947,100,5,263.669,204.94,39,24,28.696,1742,91,1661.301,1,100,0,3
BF1942,Fy_Pool_Day,1024,256,0.6,75,70.303,76.329,76.199,6.026,0.02,0.031,99.968,2,40.101,40.101,24,10,14.708,194,16,185.013,1,0.389,0,1
BF1942,Gazala,2048,512,0.6,0,4.453,153,68.582,148.547,18.411,22.083,100,6,353.913,300.847,44,49,35.58,907,42,216.246,0,0,0,3
BF1942,giza,2048,512,0.6,30,0.48,66.377,19.345,65.897,2.012,1.377,5.602,5,299.252,283.031,43,21,39.15,722,72,172.138,0,0,0,2
BF1942,Gooseislands,1024,256,0.6,83,75.073,101.613,77.872,26.541,1.199,1.466,7.281,4,175.137,140.895,32,32,41.415,283,32,269.89,1,100,0,2
BF1942,Grand_Theft_Zeppelin,2048,512,0.6,55,43.2,153,73.07,109.8,10.971,13.049,51.212,3,908.425,908.425,57,24,122.53,719,81,171.423,1,100,0.003,11
BF1942,greenscreen,1024,256,0.6,0,76.2,76.2,76.2,0,0,0,100,2,120,120,0,2,10,1,1,0.954,1,100,0,1
BF1942,Grutz_Point,2048,512,0.6,75,54.6,153,79.852,98.4,7.968,6.035,51.612,6,238.021,200.183,14,22,22.62,218,40,51.975,1,100,87.561,5
BF1942,GuadalCanal,4096,1024,0.6,65,0,153,7.57,153,2.136,2.094,5.182,6,388.323,312.793,41,50,19.811,940,56,56.028,0,0,0,4
BF1942,Haida_Gwaii,1024,256,0.6,75,63.881,88.5,72.262,24.619,5.511,0.137,8.223,5,176.752,163.618,4,12,15.901,275,38,262.26,1,100,0,1
BF1942,Harvia,1024,256,0.6,75,56.639,101.257,78.578,44.618,7.433,1.987,95.876,4,89.088,73.303,17,35,31.999,372,52,354.767,1,100,59.16,8
BF1942,hells_highway,2048,512,0.2,25,21.181,36.324,27.198,15.143,3.131,0.133,70.65,6,313.852,149.022,30,19,28.047,831,70,198.126,1,100,63.288,2
BF1942,Hell_Comes_to_Frogtown,2048,512,0.6,35,57.626,123.138,76.326,65.513,11.31,3.169,100,5,467.564,185.336,40,29,64.237,1069,75,254.87,1,100,45.254,9
BF1942,hell_in_the_philippines,2048,512,0.6,75,0,134.559,14.225,134.559,7.646,11.633,10.251,7,328.745,58.837,32,23,26.015,1230,53,293.255,1,100,0,5
BF1942,if_battle_of_sands,1024,256,0.6,0,37.664,101.801,76.89,64.137,2.857,3.579,100,5,73.483,68.774,2,18,8.445,404,56,385.284,1,100,96.712,3
BF1942,if_berlin,2048,512,0.6,35,0,40.882,2.369,40.882,0.19,0.198,5.957,3,72.815,72.815,0,14,17.875,317,45,75.579,1,6.25,99.006,2
BF1942,if_secure_that_bridge,1024,256,0.6,101,76.2,120.361,105.634,44.161,5.315,2.012,81.186,3,138.65,138.65,0,6,10.221,234,24,223.16,1,100,24.326,3
BF1942,if_snowstorm,1024,256,0.6,75,69.654,101.599,76.907,31.945,2.029,2.504,99.356,5,45.864,45.381,0,10,13.878,673,34,641.823,1,100,96.599,2
BF1942,if_stalingrad,1024,256,0.7,24,0,44.089,26.456,44.089,3.559,4.148,68.462,3,55.018,55.018,0,12,27.805,649,64,618.935,1,16.504,92.908,3
BF1942,if_town_square_trouble,1024,256,0.6,35,66.565,79.102,76.201,12.537,0.042,0.038,100,3,64.617,64.617,0,2,7.514,261,54,248.909,1,100,0,2
BF1942,immersed,1024,256,1,126,110.902,161.098,129.695,50.195,7.818,2.928,99.402,4,143.376,108.828,15,22,40.189,2765,277,2636.909,1,100,0,6
BF1942,infantry_challenge,1024,256,0.6,75,55.777,110.236,76.508,54.459,2.049,2.295,99.396,8,115.466,107.845,20,42,48.863,584,110,556.946,1,100,6.25,8
BF1942,Invasion_Crete,2048,512,1,126,78.438,187.281,101.513,108.844,8.933,11.055,28.864,8,466.557,37.545,74,25,17.873,700,80,166.893,1,100,7.364,10
BF1942,Invasion_of_Britain,2048,512,0.6,55,43.2,153,73.073,109.8,10.967,13.06,51.212,2,1665.234,1665.234,96,27,142.515,745,78,177.622,1,100,21.137,11
BF1942,Invasion_of_the_Philippines,2048,512,0.6,45,0,119.309,18.726,119.309,9.308,13.662,15.788,6,357.182,222.344,50,30,21.539,844,56,201.225,1,100,0,4
BF1942,iraq,2048,512,0.6,-2,0,86.147,24.838,86.147,12.047,3.282,100,8,325.753,129.854,66,32,35.023,3922,65,935.078,0,0,39.186,3
BF1942,island_of_horror,1024,256,0.3,45,31.282,66.668,38.597,35.386,4.549,1.506,6.427,4,112.188,88.802,5,29,33.155,635,72,605.583,1,100,0,5
BF1942,Iwo_Jima,2048,512,0.6,50,0,110.18,11.768,110.18,4.491,4.474,6.701,5,92.98,83.631,38,38,27.013,517,27,123.262,0,0,0,5
BF1942,Karden_Khaos,2048,512,0.6,55,40.737,119.707,62.111,78.97,2.545,2.803,97.611,5,92.526,64.656,0,24,11.496,1113,128,265.36,1,1.563,98.548,2
BF1942,Karst,1024,256,0.6,65,0,109.727,74.875,109.727,20.39,21.173,87.177,3,379.471,379.471,19,18,40.768,573,80,546.455,1,100,30.624,6
BF1942,Kasserine,2048,512,0.7,75,1.4,178.289,85.801,176.89,13.521,13.007,72.777,7,287.263,248.736,59,80,34.655,1210,97,288.487,1,100,28.376,11
BF1942,kbely_airfield_vanilla,2048,512,0.35,35,0,65.183,42.25,65.183,7.921,4.088,96.697,5,195.973,177.233,32,35,20.885,716,70,170.708,1,100,51.892,5
BF1942,Kharkov,1024,256,0.7,90,76.729,156.097,119.903,79.368,14.723,14.85,94.408,5,179.26,173.32,23,35,28.095,932,38,888.825,0,0,36.652,7
BF1942,King_of_the_Island,2048,512,0.6,75,62.681,77.944,63.02,15.263,0.207,0,0.137,1,0,0,0,6,100.547,204,18,48.637,1,1.563,0,1
BF1942,Konagi,2048,512,0.6,86,54.307,148.329,61.291,94.022,4.839,7.478,9.05,5,412.471,354.708,44,26,20.247,1967,54,468.969,1,100,0,4
BF1942,Kursk,1024,256,0.6,72,44.208,131.159,97.923,86.951,9.939,6.433,99.106,4,274.228,133.415,18,15,27.848,1458,32,1390.457,0,0,35.434,5
BF1942,KurskayDuga,1024,256,0.6,72,48.71,112.282,78.516,63.572,8.236,1.309,95.28,4,291.225,214.111,43,14,26.276,2013,55,1919.746,0,0,46.133,7
BF1942,Last_Stand_Part_One,2048,512,0.6,65,0,153,84.798,153,11.038,15.488,68.542,5,452.955,437.202,19,18,33.242,1557,93,371.218,1,100,22.577,6
BF1942,Last_Stand_Part_Two,2048,512,0.6,65,0,153,84.798,153,11.037,15.484,68.542,7,129.003,122.397,19,27,27.839,1576,97,375.748,1,100,22.646,6
BF1942,LD_Omaha_Day1,2048,512,0.35,7.1,0,79.386,30.868,79.386,4.936,1.628,58.895,4,309.736,123.594,33,13,34.956,741,53,176.668,1,15.259,39.239,8
BF1942,Leningrad,2048,512,0.6,68,12.518,103.184,54.411,90.666,6.975,11.411,60.774,8,148.899,110.588,50,18,21.018,1935,114,461.34,1,100,52.652,3
BF1942,Liberation_of_Caen,2048,512,0.6,30,19.2,107.806,56.953,88.605,13.96,8.692,89.91,6,165.693,106.752,37,30,24.268,743,109,177.145,1,36.012,88.015,7
BF1942,long_hurdles,1024,256,0.6,0,76.2,76.2,76.2,0,0,0,100,5,29.081,28.14,22,22,4.957,66,8,62.943,1,100,0,1
BF1942,Makin_Atol,1024,256,0.6,94,0,127.008,16.916,127.008,8.472,15.326,9.995,7,115.553,59.101,7,18,20.953,325,16,309.944,1,100,0,4
BF1942,Malaria,1024,256,0.6,55,39.431,124.062,56.494,84.63,10.514,15.643,30.623,8,193.932,127.622,58,20,19.597,2039,81,1944.542,1,100,0,8
BF1942,MANSION_OF_THE_SNAKE,1024,256,0.6,31,10.376,106.355,57.495,95.979,16.228,17.452,89.706,6,344.814,144.909,29,50,30.039,1210,146,1153.946,1,100,31.415,9
BF1942,Market_Garden,2048,512,0.6,24,2.648,128.065,54.853,125.416,12.009,8.682,90.007,6,169.331,114.78,26,55,43.711,355,58,84.639,1,76.563,59.736,5
BF1942,Market_Garden_Bomber,2048,512,0.6,24,2.648,128.065,54.8,125.416,12.013,8.757,90.019,6,169.331,114.78,45,55,45.619,389,60,92.745,1,76.563,59.736,5
BF1942,market_garden_custom,2048,512,0.6,24,2.648,128.065,54.853,125.416,12.009,8.682,90.007,6,169.331,114.78,33,55,43.711,355,58,84.639,1,76.563,59.736,5
BF1942,Marshall_island,2048,512,0.6,93.44,49.413,127.465,57.66,78.052,1.496,1.429,4.575,4,199.392,173.049,38,44,47.645,1143,69,272.513,0,0,0,3
BF1942,matrix,1024,256,0.6,0,32.85,76.2,32.865,43.35,0.017,0.02,100,3,69.3,69.3,242,8,5.163,1025,2,977.516,1,100,99.042,2
BF1942,Midway,4096,1024,0.6,20,0,34.734,0.436,34.734,0.179,0.125,0.87,4,944.037,279.181,22,15,49.073,235,36,14.007,0,0,0,1
BF1942,murmansk,1024,256,0.6,70,33.623,152.859,82.464,119.236,20.163,26.427,89.682,5,109.9,109.244,10,27,19.685,951,57,906.944,1,100,78.29,4
BF1942,MyLevel,4096,1024,2,75,254,254,254,0,0,0,100,2,120,120,0,2,10,0,0,0,1,100,0,1
BF1942,North_Sea_Docks,2048,512,0.6,75,0,140.466,44.239,140.466,7.966,9.977,35.965,6,156.336,118.694,45,46,29.449,890,152,212.193,1,100,52.286,3
BF1942,Norway_SinglePlayer,2048,512,2,75,0,405.594,112.788,405.594,15.814,23.819,48.534,5,216.333,101.223,32,56,26.579,408,45,97.275,1,100,0,5
BF1942,not_berlin,2048,512,0.6,35,0,41.288,2.369,41.288,0.189,0.198,5.957,5,42.286,38.338,0,8,20.525,266,41,63.419,1,6.25,99.006,2
BF1942,Nuenen,1024,256,0.6,70,66.539,91.106,77.691,24.567,5.7,0.947,99.455,6,180.406,130.382,23,9,30.234,1329,71,1267.433,1,100,26.622,9
BF1942,Oahu,4096,1024,0.6,13,0,153,33.804,153,12.648,14.696,63.653,8,732.794,118.453,71,10,2334.951,1938,50,115.514,1,100,0,9
BF1942,Offline,1024,256,0.6,83,76.2,129.471,79.708,53.271,3.312,2.158,13.446,4,119.798,109.756,13,31,17.017,1003,34,956.535,1,100,0,3
BF1942,Omaha_Beach,2048,512,0.35,17,0,88.073,38.111,88.073,5.521,6.573,53.73,3,130.834,130.834,18,28,29.394,431,56,102.758,1,25,82.436,3
BF1942,Omaha_Sector_D,2048,512,0.6,59,38.688,100.008,62.117,61.32,1.817,1.46,47.708,5,54.608,54.283,49,18,25.474,2037,57,485.659,1,25,95.155,3
BF1942,On_the_desk,1024,256,0.6,0,76.2,76.2,76.2,0,0,0,100,0,0,0,0,2,0,4,4,3.815,1,100,0,1
BF1942,Operation_Abitibi,1024,256,0.6,39,0,146.264,80.623,146.264,22.064,34.844,91.298,7,79.427,75.734,20,22,11.768,932,59,888.825,1,100,32.457,6
BF1942,Operation_Chariot,2048,512,0.6,24,0,55.404,17.336,55.404,0.869,1.115,11.374,7,158.23,132.994,50,55,27.098,907,102,216.246,0,0,83.66,4
BF1942,Operation_Chariot2,2048,512,0.6,24,0,55.404,17.336,55.404,0.869,1.115,11.374,7,183.143,158.23,48,55,27.605,907,102,216.246,0,0,83.66,4
BF1942,Operation_Desert_Eagle,4096,1024,2,266,254,335.125,257.763,81.125,1.815,1.198,9.317,8,301.458,139.495,140,71,75.675,706,63,42.081,1,100,49.38,6
BF1942,Operation_Forager,1024,256,0.6,75,33.804,153,71.41,119.196,14.601,16.458,36.617,5,183.623,172.251,6,21,24.683,784,61,747.681,1,40.293,70.535,5
BF1942,operation_marokko,2048,512,0.5,75,43.961,116.621,74.062,72.66,5.76,4.745,57.528,5,686.309,578.801,45,20,46.407,1125,90,268.221,1,100,0,4
BF1942,operation_marokko_sixonsix_vii,2048,512,0.5,75,43.961,116.621,73.864,72.66,5.425,4.245,57.508,5,686.309,574.608,41,20,46.407,766,88,182.629,1,100,0.032,3
BF1942,Operation_Night_Hawk,1024,256,0.6,35,0,76.2,75.533,76.2,3.388,4.654,99.997,7,69.369,43.188,107,62,37.379,790,64,753.403,1,100,0,7
BF1942,Operation_Rolling_Barrage,2048,512,0.55,15,3.3,98.267,31.044,94.967,13.17,9.196,97.166,5,218.195,184.061,89,35,27.216,1882,113,448.704,1,100,92.682,5
BF1942,operation_sylt_enh,4096,1024,0.6,54,0,71.848,30.333,71.848,9.56,2.302,27.561,8,546.197,265.761,106,27,23.481,1598,144,95.248,1,100,75.474,4
BF1942,Pacific_Railroad,1024,256,0.6,58,59.782,142.017,96.777,82.235,11.359,6.378,100,6,100.707,21.01,13,67,8.657,1109,42,1057.625,1,100,88.051,2
BF1942,parcours_challenge,2048,512,0.6,43,0,153,75.186,153,4.662,6.757,96.115,8,28.131,11.108,123,12,4.025,1542,56,367.641,1,100,0.014,6
BF1942,parcours_challenge_part_two,2048,512,2,75,0,510,215.729,510,14.559,22.04,85.566,6,11.108,3.542,128,6,5.513,2044,61,487.328,1,100,0.013,4
BF1942,parcours_challenge_simplified,2048,512,0.6,43,0,153,75.29,153,4.616,6.674,96.472,8,28.131,11.108,103,12,4.025,1136,50,270.844,1,100,0.014,5
BF1942,Pegasus_bridge,1024,256,0.6,61,40.613,153,78.419,112.388,10.872,7.879,89.423,6,312.927,312.179,84,34,52.23,535,67,510.216,1,100,1.761,12
BF1942,Peleliu,2048,512,0.6,94,34.186,134.126,46.174,99.94,4.528,7.513,5.237,6,341.342,219.288,46,34,32.326,2073,114,494.242,1,100,0,4
BF1942,Philippines_Invasion,2048,512,0.6,45,0,119.309,18.726,119.309,9.308,13.662,15.788,6,357.182,222.344,50,30,21.539,844,56,201.225,1,100,0,4
